run,showcase,case_id,expected_outcome,expected_rule,observed_outcome,observed_rule,pass,latency_ms,HazardConcepts,ConditionConcepts,InformationState,Predicted_Safety,Predicted_Urgency,Predicted_PrimaryTrade,RepeatAssessment,FailSafeType,error
4,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R04-19f6278930c94062874fa082dd5d4452,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,15175.9,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
4,Critical hazard,HARDEN-SHOWCASE-GAS-R04-0808ef60c6244b2f925d857284621141,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,13803.6,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
5,Routine repair,HARDEN-SHOWCASE-ROUTINE-R05-ebcf31b4713b4119b47fc8425baeba16,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,13355.2,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""MOISTURE_PRESENT""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
5,Needs a detail,HARDEN-SHOWCASE-ASK-R05-75f9ca6c93d549b9af4ac867f27fcfde,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,13645.6,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
5,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R05-1c60525e625f4e8488060f7a1837bce6,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,16919.2,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
5,Critical hazard,HARDEN-SHOWCASE-GAS-R05-be208dd72e69409d9f828e550bf0f195,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,14915.9,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
6,Routine repair,HARDEN-SHOWCASE-ROUTINE-R06-0e187130d17840c0af3dbb72ee27fc98,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,16474.6,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""MOISTURE_PRESENT""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
6,Needs a detail,HARDEN-SHOWCASE-ASK-R06-e7e0d8b49b15443198a6d07daa8c24b8,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,13919.5,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
6,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R06-43a1756faa14454d9d20115747301ebf,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,16446.0,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
6,Critical hazard,HARDEN-SHOWCASE-GAS-R06-fcd016f3d7af42009e396032be5fb034,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,15709.6,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
7,Routine repair,HARDEN-SHOWCASE-ROUTINE-R07-54522519cd7a4c6a8e17c49bf8af0858,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,14797.7,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
7,Needs a detail,HARDEN-SHOWCASE-ASK-R07-fe1901467b424404a7cf78cbc2429c97,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,12412.8,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
7,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R07-ae9fcaf1f89f41f08fedcebe207e19a1,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,17222.5,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""REPLACEMENT_OR_UPGRADE"",""REPEAT_FAILURE""]",SUFFICIENT,Safe,Priority,HVAC,"[""SAME_FAILURE_MODE""]",NONE,
7,Critical hazard,HARDEN-SHOWCASE-GAS-R07-9b982d8b757546aaaf8c196818d3b40c,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,14043.4,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
8,Routine repair,HARDEN-SHOWCASE-ROUTINE-R08-386dd59ec19e422586e93703f25e59b2,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,14997.0,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
8,Needs a detail,HARDEN-SHOWCASE-ASK-R08-cfb5ea2a63d04984905fe9fe4cbe6e52,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,12377.4,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
8,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R08-645e97338e9444769523e2b96b63ee2d,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,17871.6,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
8,Critical hazard,HARDEN-SHOWCASE-GAS-R08-62f4cf29dad2482cbbf8e9083378bb93,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,13231.8,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
9,Routine repair,HARDEN-SHOWCASE-ROUTINE-R09-c1c9376a09f141d79e6857ac8e5ac43a,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,15292.2,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
9,Needs a detail,HARDEN-SHOWCASE-ASK-R09-95c5d0cebd454c35bdca4de9cb1bb3d7,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,14705.0,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
9,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R09-94c354f2cb7c4b87b31e5db01b2e92df,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,14360.2,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
9,Critical hazard,HARDEN-SHOWCASE-GAS-R09-c053e14f05554a5abd3ab6a322fccb8b,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,15772.5,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
10,Routine repair,HARDEN-SHOWCASE-ROUTINE-R10-7f9efe699a0947f2bbca575a9ea2330b,ACT,P15_ROUTINE_AUTHORIZED_ACTION,ACT,P15_ROUTINE_AUTHORIZED_ACTION,True,14606.1,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""MOISTURE_PRESENT""]",SUFFICIENT,Safe,Routine,PLUMBING,"[""NO_COMPARABLE_HISTORY""]",NONE,
10,Needs a detail,HARDEN-SHOWCASE-ASK-R10-7dccee824f8949568a089ab870e8c943,ASK,P05A_SECURITY_CLARIFICATION,ASK,P05A_SECURITY_CLARIFICATION,True,16422.1,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED"",""SECURITY_STATUS_UNRESOLVED""]",NEEDS_CLARIFICATION,Safe,Priority,LOCKSMITH,"[""NO_COMPARABLE_HISTORY""]",NONE,
10,Authority exceeded,HARDEN-SHOWCASE-AUTHORITY-R10-125d6c3e07c14c86b3f182c3d70d8872,ESCALATE,P04_AUTHORITY_EXCEEDED,ESCALATE,P04_AUTHORITY_EXCEEDED,True,15098.2,"[""NO_ACTIVE_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Safe,Priority,HVAC,"[""NO_COMPARABLE_HISTORY""]",NONE,
10,Critical hazard,HARDEN-SHOWCASE-GAS-R10-8696d8fac8ba4d4da9a3a1c1537f9c11,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACT+ESCALATE,P03_CRITICAL_HAZARD,True,13413.0,"[""GAS_HAZARD""]","[""ACTIVE_MAINTENANCE_NEED""]",SUFFICIENT,Unsafe,Emergency,GAS,"[""NO_COMPARABLE_HISTORY""]",NONE,
