Case_ID,PolicyOutcome,PolicyRule,HazardConcepts,ConditionConcepts,InformationState
GT-036,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-037,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACTIVE_FIRE_OR_SMOKE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-038,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-039,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-040,ASK,P07_NEEDS_CLARIFICATION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,NEEDS_CLARIFICATION
GT-041,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-042,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-043,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-044,AWAITING,P06_NONSAFETY_SILENCE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,NO_RESPONSE_AFTER_ASK
GT-045,CLOSE,P14_RESOLVED,NO_ACTIVE_HAZARD,RESOLVED_NO_OUTSTANDING_NEED,SUFFICIENT
GT-046,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACTIVE_FIRE_OR_SMOKE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-047,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-048,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-049,ACT+ESCALATE,P03_CRITICAL_HAZARD,GAS_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-050,ESCALATE,P12_MOLD_SPREAD,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOLD_SPREAD,SUFFICIENT
GT-051,ACT+ESCALATE,P03_CRITICAL_HAZARD,WATER_ELECTRICAL_CONTACT,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
GT-052,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-053,ACT+ESCALATE,P03_CRITICAL_HAZARD,SEWAGE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-054,ACT,P03S_SECURITY_EXPOSURE,SECURITY_EXPOSURE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-055,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-056,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-057,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-058,ESCALATE,P10_REPLACEMENT_UPGRADE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|REPLACEMENT_OR_UPGRADE,SUFFICIENT
GT-059,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
GT-060,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
