Case_ID,PolicyOutcome,PolicyRule,HazardConcepts,ConditionConcepts,InformationState
HB-017,ESCALATE,P13_MATERIAL_MOISTURE_DAMAGE,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT|MATERIAL_MOISTURE_DAMAGE,SUFFICIENT
HB-018,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-019,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-020,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-021,ESCALATE,P02_UNKNOWN_UNIT,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-022,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-023,ASK,P05A_SECURITY_CLARIFICATION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|SECURITY_STATUS_UNRESOLVED,NEEDS_CLARIFICATION
HB-024,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-025,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-026,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-027,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-028,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-029,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-030,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-031,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-032,ACT+ESCALATE,P03_CRITICAL_HAZARD,SEWAGE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-033,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-034,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|PEST_ACTIVITY,SUFFICIENT
HB-035,ESCALATE,P04_AUTHORITY_EXCEEDED,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-036,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACTIVE_FIRE_OR_SMOKE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-037,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-038,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-039,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-040,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-041,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-042,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-043,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-044,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED|MOISTURE_PRESENT,SUFFICIENT
HB-045,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-046,ACT+ESCALATE,P03_CRITICAL_HAZARD,ACTIVE_FIRE_OR_SMOKE,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-047,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-048,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-049,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
HB-050,ACT,P15_ROUTINE_AUTHORIZED_ACTION,NO_ACTIVE_HAZARD,ACTIVE_MAINTENANCE_NEED,SUFFICIENT
